City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Saskylakh,RU,71.9167,114.0833,72.79,35,95,16.4,overcast clouds
80,Da Nang,VN,16.0678,108.2208,96.78,41,20,8.05,few clouds
81,Lagoa,PT,39.05,-27.9833,69.49,89,63,6.51,broken clouds
82,Mlonggo,ID,-6.5333,110.7,80.49,56,5,7.9,clear sky
83,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,47.37,47,65,2.68,broken clouds
84,Thompson,CA,55.7435,-97.8558,55.87,54,99,2.86,overcast clouds
85,Touros,BR,-5.1989,-35.4608,77.61,85,11,11.97,few clouds
86,San Clemente,US,33.427,-117.612,94.68,74,0,1.99,clear sky
87,Yei,SS,4.095,30.6779,65.7,98,99,3.33,light rain
88,Barrow,US,71.2906,-156.7887,44.62,93,90,16.11,light rain
89,Naze,JP,28.3667,129.4833,80.37,82,30,8.86,scattered clouds
90,Mount Isa,AU,-20.7333,139.5,83.97,21,1,8.05,clear sky
91,Arraial Do Cabo,BR,-22.9661,-42.0278,64.54,84,100,21.12,overcast clouds
92,Dudinka,RU,69.4058,86.1778,58.55,68,79,9.44,broken clouds
93,Victoria,HK,22.2855,114.1577,89.96,84,98,1.99,light rain
94,Eskisehir,TR,39.7767,30.5206,62.02,64,0,1.61,clear sky
95,Salalah,OM,17.0151,54.0924,76.06,94,99,12.75,overcast clouds
96,Chuy,UY,-33.6971,-53.4616,42.03,75,32,14.5,scattered clouds
97,Tessalit,ML,20.1986,1.0114,89.37,38,22,4.23,few clouds
98,Manggar,ID,-2.8833,108.2667,83.25,72,99,12.39,overcast clouds
99,Dikson,RU,73.5069,80.5464,38.73,95,95,9.28,overcast clouds
100,Butaritari,KI,3.0707,172.7902,82.69,71,13,9.64,light rain
101,Ixtapa,MX,20.7,-105.2,77.56,88,53,1.03,broken clouds
102,Hermanus,ZA,-34.4187,19.2345,59.81,69,98,23.89,overcast clouds
103,Hofn,IS,64.2539,-15.2082,53.44,84,100,4.56,overcast clouds
104,Kodiak,US,57.79,-152.4072,56.82,78,98,4.25,overcast clouds
105,Kapaa,US,22.0752,-159.319,81.12,59,58,3,broken clouds
106,Meadow Lake,US,34.8014,-106.5436,87.28,46,35,8.05,scattered clouds
107,Leshukonskoye,RU,64.8989,45.7622,46.18,95,100,3.04,overcast clouds
108,Roma,US,43.2128,-75.4557,64.54,86,1,3.44,clear sky
109,Totness,SR,5.8833,-56.3167,78.58,86,94,9.66,overcast clouds
110,Torbay,CA,47.6666,-52.7314,66.97,95,90,12.66,overcast clouds
111,Iringa,TZ,-7.7667,35.7,48.06,70,0,6.31,clear sky
112,Muroto,JP,33.2833,134.15,81,77,0,8.9,clear sky
113,Seoul,KR,37.5683,126.9778,90.79,48,100,3.22,overcast clouds
114,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.71,82,100,17.6,overcast clouds
115,Caucaia,BR,-3.7361,-38.6531,80.55,79,75,10.36,broken clouds
116,Qaanaaq,GL,77.484,-69.3632,42.58,96,100,1.48,light rain
117,Georgetown,MY,5.4112,100.3354,81.9,82,40,2.3,scattered clouds
118,Pravia,ES,43.4906,-6.1508,62.89,82,75,2.3,broken clouds
119,Saurimo,AO,-9.6608,20.3916,53.2,42,0,5.35,clear sky
120,Vanimo,PG,-2.6741,141.3028,85.98,66,35,6.26,scattered clouds
121,Elbeuf,FR,49.2867,1.0029,60.55,84,0,11.5,clear sky
122,Grand-Lahou,CI,5.1367,-5.0242,74.61,90,37,4.83,scattered clouds
123,Cap Malheureux,MU,-19.9842,57.6142,71.47,75,98,8.01,overcast clouds
124,Port Lincoln,AU,-34.7333,135.8667,57.33,60,0,17.27,clear sky
125,Salisbury,GB,51.0693,-1.7957,59.49,86,6,12.12,clear sky
126,Pisco,PE,-13.7,-76.2167,62.02,84,5,1.59,clear sky
127,Kerema,PG,-7.9631,145.7785,82.2,80,68,6.71,broken clouds
128,Severo-Kurilsk,RU,50.6789,156.125,59.36,89,92,3.76,overcast clouds
129,Alice Springs,AU,-23.7,133.8833,74.75,21,1,11.99,clear sky
130,Tura,IN,25.5198,90.2201,74.75,94,100,6.4,overcast clouds
131,Mookane,BW,-23.688,26.6595,50.85,45,0,1.3,clear sky
132,Vestmannaeyjar,IS,63.4427,-20.2734,54.23,82,28,5.68,scattered clouds
133,Arlit,NE,18.7369,7.3853,88.23,41,81,10.74,broken clouds
134,Deputatskiy,RU,69.3,139.9,50.13,52,63,9.37,broken clouds
135,Fortuna,US,40.5982,-124.1573,69.85,79,1,1.01,clear sky
136,Atar,MR,20.5169,-13.0499,87.57,36,27,6.53,scattered clouds
137,Avera,US,33.194,-82.5271,81.54,61,98,4.27,overcast clouds
138,Uba,BR,-21.12,-42.9428,69.85,26,74,1.01,broken clouds
139,Talcahuano,CL,-36.7167,-73.1167,51.04,69,0,7.29,clear sky
140,Kruisfontein,ZA,-34.0033,24.7314,43.88,89,58,7,broken clouds
141,Vila Velha,BR,-20.3297,-40.2925,71.55,83,20,8.05,few clouds
142,Cidreira,BR,-30.1811,-50.2056,45.95,70,94,22.57,overcast clouds
143,Baykit,RU,61.67,96.37,72.25,57,56,4.54,broken clouds
144,Serpa,PT,37.9458,-7.5975,68.25,55,0,4.43,clear sky
145,Boguchany,RU,58.3814,97.4531,63.46,89,76,5.46,light rain
146,Dawlatabad,AF,36.4141,64.9053,80.71,12,1,6.31,clear sky
147,Steinbach,DE,50.1667,8.5667,62.08,84,0,3.44,clear sky
148,Ormara,PK,25.2088,64.6357,81.86,88,95,10.11,overcast clouds
149,Gimli,CA,50.6336,-96.9907,75.43,48,0,16.49,clear sky
150,Ucluelet,CA,48.9329,-125.5528,86.95,76,0,1.01,clear sky
151,Paracuru,BR,-3.41,-39.0306,80.62,88,16,11.36,few clouds
152,Porto Belo,BR,-27.1578,-48.5531,54.16,56,3,14.85,clear sky
153,Araouane,ML,18.9048,-3.5265,93.2,34,12,10.49,few clouds
154,Wajir,KE,1.7471,40.0573,71.78,74,95,12.41,overcast clouds
155,Makarov,RU,48.6333,142.8,80.53,59,18,9.22,few clouds
156,Jutai,BR,-5.1833,-68.9,77.58,64,38,0.83,scattered clouds
157,Sultanpur,IN,26.2667,82.0667,81.64,85,100,8.1,overcast clouds
158,Honiara,SB,-9.4333,159.95,84.18,74,37,6.35,scattered clouds
159,Noumea,NC,-22.2763,166.4572,78.78,99,2,2.44,clear sky
160,Yar-Sale,RU,66.8333,70.8333,52.66,71,57,4.43,broken clouds
161,Whakatane,NZ,-37.9585,176.9854,61.52,77,29,4,scattered clouds
162,Daru,PG,-9.0763,143.2092,79.36,88,58,14.45,broken clouds
163,Ponta Do Sol,PT,32.6667,-17.1,72.23,80,18,6.78,few clouds
164,Ananas,HT,19.2466,-71.9557,71.28,93,87,4.14,overcast clouds
165,Carnarvon,AU,-24.8667,113.6333,69.84,60,100,18.63,overcast clouds
166,Bambous Virieux,MU,-20.3428,57.7575,71.22,72,100,23.11,overcast clouds
167,Kisangani,CD,0.5167,25.2,72.68,78,100,2.64,overcast clouds
168,Acapulco,MX,16.8634,-99.8901,81.77,78,98,5.37,overcast clouds
169,Hualmay,PE,-11.0964,-77.6139,64.22,82,76,11.95,broken clouds
170,Wonthaggi,AU,-38.6044,145.5913,56.93,75,95,18.21,overcast clouds
171,Rudbar,AF,30.15,62.6,82.9,15,47,12.06,scattered clouds
172,Mar Del Plata,AR,-38.0023,-57.5575,42.01,65,40,1.99,scattered clouds
173,Constitucion,CL,-35.3333,-72.4167,49.51,60,0,5.84,clear sky
174,Hamilton,US,39.1834,-84.5333,81.41,79,50,1.41,scattered clouds
175,Maumere,ID,-8.6199,122.2111,84.02,63,13,5.41,few clouds
176,Podosinovets,RU,60.2776,47.0659,53.4,74,63,4.47,broken clouds
177,Barao De Melgaco,BR,-16.1944,-55.9675,57.72,20,28,8.79,scattered clouds
178,Tuy Hoa,VN,13.0833,109.3,90.79,54,56,16.55,broken clouds
179,Ust-Kut,RU,56.7938,105.7672,83.28,36,33,3.36,scattered clouds
180,Srednekolymsk,RU,67.45,153.6833,38.97,97,100,9.42,light rain
181,Matara,LK,5.9485,80.5353,79.9,86,79,11.23,broken clouds
182,College,US,64.8569,-147.8028,62.55,79,90,0,overcast clouds
183,Berlevag,NO,70.8578,29.0864,46.33,93,100,10.22,overcast clouds
184,Cam Ranh,VN,11.9214,109.1591,91.36,55,20,11.5,few clouds
185,Salinopolis,BR,-0.6136,-47.3561,78.1,84,9,8.86,clear sky
186,Adrar,MR,20.5022,-10.0711,88.97,30,97,19.69,overcast clouds
187,Komsomolskiy,UZ,40.4272,71.7189,79.52,34,42,0,scattered clouds
188,Faanui,PF,-16.4833,-151.75,78.33,69,33,3,scattered clouds
189,Bredasdorp,ZA,-34.5322,20.0403,59.29,63,60,15.75,broken clouds
190,Vigrestad,NO,58.5667,5.7,60.48,89,98,14.03,light rain
191,Kahului,US,20.8947,-156.47,83.97,81,98,8.99,overcast clouds
192,Praya,CV,14.9215,-23.5087,77.54,73,75,12.66,broken clouds
193,Omsukchan,RU,62.5333,155.8,38.44,88,100,5.37,light rain
194,Asfi,MA,32.2994,-9.2372,68.77,91,0,12.62,clear sky
195,Codrington,AU,-38.2667,141.9667,56.48,66,6,13.82,clear sky
196,Ejea De Los Caballeros,ES,42.1263,-1.1372,71.74,78,0,1.95,clear sky
197,Bathsheba,BB,13.2167,-59.5167,80.31,83,97,18.59,overcast clouds
